System_Affiliation,Facility_Name,Current Year Market Share,Current Year Commercial Market Share,Hosp Lat,Hosp Long,Quality-Complications_Deaths,Likelihood to Recommend,Overall Hospital Linear Mean Score,Quality-Hosp Acq Infections,Quality-Readmissions,Total 2017-22 Pop Growth,2017 Household Income,CY Discharges,Estimated NR,Estimated CM,Estimated EBITDA,Current Liabilities,Current Assets,Total Liabilities,Fund Balance,EBITDAR
Community Health Systems,Barstow Community Hospital-California,0.4260803639,0.2789203085,34.876325,-117.019557,No Different than the National Rate,65,89,Not Available,No Different than the National Rate,-1.59E-03,58495.8454,2392,18714851,10360944,1441438,-41561745,15151707,-41561745,122105719,26936780
No Known Affiliation,Barton County Memorial Hospital - Lamar Mo-Missouri,0.3791695031,0.1326164875,37.52297,-94.261628,No Different than the National Rate,78,92,Not Available,No Different than the National Rate,1.34E-03,51361.30487,750,5525805,3143623,557146,3193246,6782765,18878846,1856009,1979521
No Known Affiliation,Barton Memorial Hospital-California,0.8107142857,0.8210922787,38.913807,-120.03739,No Different than the National Rate,75,90,No Different than National Benchmark,No Different than the National Rate,-3.80E-03,75131.96539,2287,22555238,13453704,5184346,26023985,53445569,70236042,187665731,42727122
Community Health Systems,Bartow Regional Medical Center-Florida,7.60E-02,4.98E-02,27.86715,-81.812013,No Different than the National Rate,61,85,Not Available,No Different than the National Rate,4.52E-02,63790.78039,3094,29027036,16537765,4530940,36601305,8715162,38393670,9570578,1153143
No Known Affiliation,Basin Health Center-Texas,4.01E-04,7.99E-04,31.856909,-102.346791,,,,,,8.78E-03,65266.04546,5,52463,36186,19572,,,,,
No Known Affiliation,Bates County Memorial Hospital - Butler Mo-Missouri,0.3632790567,0.2065491184,38.270471,-94.272661,No Different than the National Rate,78,92,Better than the National Benchmark,No Different than the National Rate,2.83E-02,53046.52602,942,7957547,4692229,1142484,3976563,9352272,3986195,39023616,2479928
Bath County Community Hospital,Bath Community Hospital-Virginia,8.87E-02,4.88E-02,37.972961,-79.900876,No Different than the National Rate,73,Not Available,Not Available,No Different than the National Rate,-2.93E-03,56188.06696,323,2704233,1694503,480265,2464379,6879528,18619729,9438971,2665274
No Known Affiliation,Baton Rouge General Medical Center-Louisiana,0.1916539374,0.2374613621,30.448666,-91.124602,No Different than the National Rate,81,91,No Different than National Benchmark,No Different than the National Rate,2.23E-02,76581.03605,16139,283363476,185953506,103217612,34627,127099,185666,116934,6177587
No Known Affiliation,Bay Area Regional Medical Center-Texas,2.87E-02,5.84E-02,29.539978,-95.138269,No Different than the National Rate,73,88,Not Available,No Different than the National Rate,4.76E-02,94993.13625,5272,79256814,51673064,28521650,54558210,31880173,345658719,-70823620,941325
No Known Affiliation,Bay Area Rehab Hospital-Texas,3.03E-03,1.90E-03,29.539978,-95.138269,,,,,,5.17E-02,91854.83194,626,8164085,5078720,1404746,,,,,
Ascension Health,Bay Medical Center Sacred Heart Health System-Florida,0.396748389,0.3161053039,30.160911,-85.649171,No Different than the National Rate,67,85,No Different than National Benchmark,No Different than the National Rate,6.27E-02,62036.44825,14672,189198474,105024370,32056741,92081421,45260148,241902871,-116267917,-43301733
BayCare,Baycare Alliant Hospital-Florida,2.79E-03,2.97E-03,28.029217,-82.777695,,,,,,2.61E-02,65854.37946,417,10749620,6935792,3306006,,,,,
Community Health Systems,Bayfront Health - St Petersburg-Florida,0.2346362086,0.3184593352,27.769996,-82.636736,No Different than the National Rate,65,85,No Different than National Benchmark,No Different than the National Rate,4.93E-03,63399.82631,21532,238113635,140384699,54951587,108803517,55037688,206747841,34651113,30616842
Community Health Systems,Bayfront Health Brooksville-Florida,0.1461548437,9.83E-02,28.59092,-82.361688,No Different than the National Rate,55,80,No Different than National Benchmark,No Different than the National Rate,0.113122623,54848.79961,4831,39398946,22353954,5278085,50481845,16950888,59098888,37056169,35067006
Community Health Systems,Bayfront Health Dade City-Florida,0.1154071042,8.84E-02,28.338558,-82.186193,No Different than the National Rate,62,84,Not Available,No Different than the National Rate,5.13E-02,53239.21139,2187,19593459,11163251,2954848,24756329,6686773,28480249,962967,3576618
Community Health Systems,Bayfront Health Port Charlotte-Florida,0.3023264484,0.3292867982,26.990157,-82.098183,No Different than the National Rate,53,79,No Different than National Benchmark,No Different than the National Rate,5.74E-02,58487.9392,11231,99938295,56129547,15320757,40714665,27503188,40935676,40917567,28507161
Community Health Systems,Bayfront Health Punta Gorda-Florida,0.1256107012,0.1124972154,26.90638,-82.039963,No Different than the National Rate,53,79,No Different than National Benchmark,No Different than the National Rate,6.29E-02,59592.64748,5220,44494506,24302557,4438407,47698617,11791470,47911399,3089302,3656814
Community Health Systems,Bayfront Health Spring Hill-Florida,0.1755056734,0.2032930845,28.479861,-82.508332,No Different than the National Rate,55,80,No Different than National Benchmark,No Different than the National Rate,9.68E-02,54030.28409,6132,34126341,19466818,2734450,50481845,16950888,59098888,37056169,35067006
Baylor Scott & White,Baylor Hamilton Heart And Vascular Hospital-Texas,5.33E-03,6.95E-03,32.782873,-96.77636,No Different than the National Rate,90,95,No Different than National Benchmark,No Different than the National Rate,5.49E-02,82025.25768,2300,59589777,35211604,21982788,15955890,46614357,17280397,53014106,50868629
Baylor Scott & White,Baylor Institute For Rehab Frisco-Texas,3.33E-03,3.03E-03,33.126336,-96.879271,,,,,,0.1294914969,118953.0366,914,9479831,6215336,2558634,,,,,
Baylor Scott & White,Baylor Institute For Rehab Northwest Dallas-Texas,1.58E-03,4.64E-04,32.867001,-96.877872,,,,,,4.51E-02,72777.74625,476,5095276,3081484,771364,14378328,61708066,19266170,101282552,28024943
Baylor Scott & White,Baylor Institute For Rehab-Fort Worth-Texas,4.33E-03,2.56E-03,32.667546,-97.417955,,,,,,7.68E-02,80057.67562,1166,9688248,6101362,1976806,,,,,
Baylor Scott & White,Baylor Institute For Rehab-Texas,3.52E-03,4.48E-03,32.792795,-96.772755,,,,,,4.76E-02,85288.40717,1697,26601574,18278173,10105091,,,,,
Baylor Scott & White,Baylor Medical Center At Carrollton-Texas,5.70E-02,8.86E-02,33.02695,-96.896922,No Different than the National Rate,68,87,No Different than National Benchmark,No Different than the National Rate,6.38E-02,96474.73515,6675,79965955,52690463,27610727,101337289,22416188,158265854,-39495988,6815472
Baylor Scott & White,Baylor Medical Center At Frisco-Texas,6.21E-02,0.1095532681,33.126336,-96.879271,No Different than the National Rate,87,94,No Different than National Benchmark,No Different than the National Rate,0.1451692512,122435.8961,6686,85205847,58457570,38533424,11390844,31535870,68451040,11838725,40213976
Baylor Scott & White,Baylor Medical Center At Garland-Texas,5.07E-02,6.77E-02,32.913873,-96.674662,No Different than the National Rate,69,87,No Different than National Benchmark,No Different than the National Rate,3.79E-02,70587.96799,7563,97193839,63336223,31105774,27457000,50117838,28267528,85054692,6553097
Baylor Scott & White,Baylor Medical Center At Grapevine-Texas,9.30E-02,0.1699215529,32.942436,-97.079661,No Different than the National Rate,81,91,No Different than National Benchmark,No Different than the National Rate,9.97E-02,112165.8725,15999,216482591,151472503,91413006,10824556,465793735,12205612,628166084,92751241
Baylor Scott & White,Baylor Medical Center At Irving-Texas,9.97E-02,0.1449171447,32.825997,-96.965026,No Different than the National Rate,76,89,No Different than National Benchmark,No Different than the National Rate,5.38E-02,73358.55893,13062,142582333,93512181,44848925,27099682,76596411,193297326,374924847,33839997
Baylor Scott & White,Baylor Medical Center At Uptown-Texas,2.44E-03,4.62E-03,32.802033,-96.78901,No Different than the National Rate,89,94,Not Available,No Different than the National Rate,7.83E-02,98943.79542,1278,33415730,21803023,15936761,7576518,14810422,31423764,6687902,15454502
Baylor Scott & White,Baylor Medical Center At Waxahachie-Texas,7.67E-02,0.1317013852,32.367927,-96.794722,No Different than the National Rate,81,92,No Different than National Benchmark,No Different than the National Rate,9.44E-02,82091.75702,7961,83971075,55553142,27416373,4647081,36435555,93820011,108702165,28265638
Baylor Scott & White,Baylor Medical Center Mckinney-Texas,7.18E-02,0.1257777915,33.245567,-96.627699,No Different than the National Rate,84,92,No Different than National Benchmark,No Different than the National Rate,0.1828148651,116020.4298,9824,110277824,75273076,41112180,3929096,20781976,221935441,-30111014,16890321
Baylor Scott & White,Baylor Medical Center Trophy Club-Texas,2.60E-03,5.89E-03,33.007487,-97.224083,No Different than the National Rate,85,94,Not Available,No Different than the National Rate,8.60E-02,91783.62019,888,28897780,19280725,14923335,8530726,22335948,13109636,17817368,27040538
Baylor Scott & White,Baylor Orthopedic And Spine Hospital - Arlington-Texas,6.34E-03,1.77E-02,32.692002,-97.133178,No Different than the National Rate,89,94,Not Available,No Different than the National Rate,6.23E-02,75931.19311,1643,49394650,32280540,24461461,10425266,24182286,32483979,12384721,40531923
Baylor Scott & White,Baylor Regional Medical Center At Plano-Texas,2.60E-02,2.92E-02,33.034913,-96.807924,No Different than the National Rate,83,92,No Different than National Benchmark,No Different than the National Rate,0.1060336489,110680.4927,7037,122525941,79642086,46291961,14856823,50006570,15903052,40771626,48832498
Baylor Scott & White,Baylor Scott & White Hillcrest Medical Center-Texas,0.326330076,0.3964418481,31.629096,-97.211333,,,,,,3.50E-02,61305.28179,16211,202487972,131116736,64509626,,,,,
Baylor Scott & White,Baylor Scott & White Hospital - Marble Falls-Texas,0.2534604335,0.2727780883,30.573978,-98.207212,No Different than the National Rate,Not Available,Not Available,Not Available,No Different than the National Rate,6.53E-02,72614.32763,2691,21850464,12935887,3974946,143355816,42624227,143355880,-10888187,-3964807
Baylor Scott & White,Baylor Scott & White Surgical Hospital At Sherman-Texas,1.80E-02,2.42E-02,33.603979,-96.545838,No Different than the National Rate,92,94,Not Available,No Different than the National Rate,2.50E-02,62456.41076,541,13395580,8204067,5668864,8355248,5341781,27757862,8900440,2094270
Baylor Scott & White,Baylor Surgical Hospital At Las Colinas-Texas,3.93E-03,6.96E-03,32.920789,-96.975951,No Different than the National Rate,83,93,Not Available,No Different than the National Rate,8.84E-02,95922.06295,886,32095474,21774962,17303712,6353611,15822992,8333980,16452858,23970997
Baylor Scott & White,Baylor Surgical Hospital-Fort Worth-Texas,8.15E-03,1.73E-02,32.728461,-97.317789,No Different than the National Rate,75,88,No Different than National Benchmark,No Different than the National Rate,8.71E-02,79281.83456,1738,58390380,38681047,30112306,50317699,155122140,101538830,272614663,35448226
Baylor Scott & White,Baylor University Medical Center-Texas,9.23E-02,0.1483763902,32.792795,-96.772755,No Different than the National Rate,80,90,No Different than National Benchmark,No Different than the National Rate,5.12E-02,82379.29892,41902,908986427,589352425,355601463,60789006,869995550,66754594,2135947919,247185056
Catholic Health Initiatives,Baylor-St. Luke'S Medical Center-Texas,3.14E-02,3.61E-02,29.706824,-95.400691,No Different than the National Rate,71,88,No Different than National Benchmark,No Different than the National Rate,7.63E-02,95215.93091,24239,545366618,328199214,173112817,69494204,251586802,75781310,429938082,86032315
HCA,Bayshore Medical Center-Texas,0.1808448511,0.1148217864,29.647723,-95.189176,No Different than the National Rate,57,85,No Different than National Benchmark,No Different than the National Rate,2.59E-02,64483.12398,16499,131061676,71759661,9252291,20971825,44630335,1799115,137715535,8162986
HCA,Bayview Behavioral Hospital-Texas,2.46E-02,4.82E-04,27.660586,-97.371355,,,,,,3.51E-02,69513.59056,1830,3767353,981091,-4295483,,,,,
Intermountain Healthcare,Bear River Valley Hospital-Utah,0.1055741074,5.85E-02,41.68679,-112.272569,No Different than the National Rate,81,93,Not Available,No Different than the National Rate,4.01E-02,65014.31431,572,3840762,2009440,415735,333122,3431254,333122,23123399,1418499
No Known Affiliation,Bear Valley Community Hospital-California,7.04E-02,6.98E-02,34.248341,-116.915161,Not Available,58,Not Available,Not Available,No Different than the National Rate,3.08E-02,57827.60444,163,1283909,772046,195078,2333940,6563584,2338115,12936553,2553383
No Known Affiliation,Beaufort Memorial-South Carolina,0.497064299,0.3495590829,32.37395,-80.697753,No Different than the National Rate,73,90,No Different than National Benchmark,No Different than the National Rate,0.1249854044,70084.24539,9812,78542018,42876276,8136983,18528507,116312870,207465102,68745212,1815487
No Known Affiliation,Beauregard Memorial Hospital-Louisiana,0.3081872286,0.2344381568,30.804543,-93.248253,No Different than the National Rate,73,90,Not Available,No Different than the National Rate,5.78E-03,58737.50499,2799,16645352,8807694,122502,3319652,15139957,3400485,35194973,-976348
No Known Affiliation,Beaver County Memorial Hosp. & Nursing Home-Oklahoma,0.1750841751,0.1182795699,36.732459,-100.571363,Not Available,Not Available,Not Available,Not Available,No Different than the National Rate,-3.07E-02,66327.89858,76,730179,465761,151210,784889,4536326,795344,5032047,948341
No Known Affiliation,Behavioral Hospital Longview-Texas,1.23E-03,0,32.58207,-94.720973,,,,,,1.88E-02,62771.06178,268,504735,97579,-675596,,,,,
Universal Health Services Inc.,Behavioral Hospital-Bellaire-Texas,9.71E-03,0,29.712037,-95.480563,,,,,,6.43E-02,79039.69797,3645,7868822,2165149,-9085246,,,,,
No Known Affiliation,Bellaire Surgical Hospital-Texas,1.27E-03,4.06E-03,29.704454,-95.461776,,,,,,7.74E-02,97258.5473,691,26203443,18494530,14990786,,,,,
HCA,Belton Regional Medical Center - Belton Mo-Missouri,0.1947632712,0.1220527046,38.789468,-94.551918,No Different than the National Rate,69,89,Not Available,No Different than the National Rate,6.32E-02,69845.2468,3199,32224476,18646857,6667224,3520405,8907166,28799836,24188901,11547958
Harris Health System,Ben Taub General Hospital-Texas,7.92E-02,2.37E-02,29.706824,-95.400691,,,,,,2.94E-02,64211.99044,23586,216640112,98657904,-4900231,,,,,
Bethesda Healthcare System,Bethesda Hospital East-Florida,0.2615644774,0.1975760746,26.523612,-80.063876,No Different than the National Rate,69,87,Better than the National Benchmark,No Different than the National Rate,5.18E-02,68311.46205,19819,190681073,105871274,27057704,17197586,63384361,94611917,307387455,1788617
